Source;Target;Type
96;94;Directed
96;74;Directed
96;16;Directed
96;83;Directed
96;17;Directed
96;18;Directed
96;19;Directed
96;60;Directed
96;61;Directed
96;62;Directed
96;20;Directed
96;63;Directed
96;80;Directed
96;64;Directed
96;21;Directed
96;25;Directed
96;81;Directed
96;36;Directed
96;26;Directed
96;95;Directed
96;27;Directed
96;68;Directed
96;82;Directed
96;30;Directed
97;34;Directed
97;35;Directed
97;74;Directed
97;20;Directed
97;80;Directed
58;46;Directed
58;47;Directed
58;48;Directed
58;49;Directed
58;5;Directed
58;33;Directed
58;6;Directed
58;72;Directed
58;53;Directed
58;34;Directed
58;54;Directed
58;55;Directed
58;56;Directed
58;57;Directed
58;96;Directed
58;48;Directed
58;49;Directed
58;53;Directed
58;12;Directed
58;13;Directed
58;59;Directed
58;14;Directed
58;74;Directed
58;16;Directed
58;83;Directed
58;17;Directed
58;18;Directed
58;60;Directed
58;61;Directed
58;62;Directed
58;20;Directed
58;63;Directed
58;64;Directed
58;21;Directed
58;66;Directed
58;26;Directed
58;68;Directed
58;82;Directed
99;38;Directed
99;5;Directed
99;51;Directed
99;34;Directed
99;73;Directed
99;43;Directed
99;96;Directed
99;38;Directed
99;5;Directed
99;51;Directed
99;34;Directed
99;73;Directed
99;43;Directed
99;96;Directed
99;35;Directed
99;59;Directed
99;14;Directed
99;83;Directed
99;98;Directed
99;77;Directed
99;20;Directed
99;25;Directed
99;26;Directed
99;92;Directed
99;68;Directed
99;82;Directed
99;30;Directed
35;34;Directed
35;97;Directed
35;74;Directed
35;60;Directed
35;20;Directed
35;80;Directed
93;0;Directed
93;7;Directed
93;8;Directed
93;0;Directed
93;8;Directed
93;22;Directed
12;0;Directed
12;46;Directed
12;47;Directed
12;48;Directed
12;49;Directed
12;50;Directed
12;33;Directed
12;6;Directed
12;7;Directed
12;52;Directed
12;53;Directed
12;34;Directed
12;54;Directed
12;55;Directed
12;43;Directed
12;57;Directed
12;58;Directed
12;59;Directed
12;94;Directed
12;74;Directed
12;17;Directed
12;18;Directed
12;19;Directed
12;60;Directed
12;61;Directed
12;62;Directed
12;98;Directed
12;20;Directed
12;80;Directed
12;64;Directed
12;21;Directed
12;26;Directed
12;68;Directed
85;71;Directed
85;79;Directed
85;84;Directed
85;75;Directed
85;87;Directed
85;88;Directed
85;89;Directed
85;90;Directed
13;0;Directed
13;46;Directed
13;2;Directed
13;5;Directed
13;6;Directed
13;72;Directed
13;7;Directed
13;9;Directed
13;53;Directed
13;55;Directed
13;10;Directed
13;73;Directed
13;43;Directed
13;11;Directed
13;96;Directed
13;43;Directed
13;11;Directed
13;14;Directed
13;16;Directed
13;17;Directed
13;18;Directed
13;45;Directed
13;77;Directed
13;20;Directed
13;40;Directed
13;63;Directed
13;21;Directed
13;66;Directed
13;67;Directed
13;23;Directed
13;25;Directed
13;26;Directed
13;41;Directed
13;28;Directed
13;68;Directed
13;82;Directed
59;46;Directed
59;1;Directed
59;47;Directed
59;2;Directed
59;48;Directed
59;49;Directed
59;50;Directed
59;33;Directed
59;6;Directed
59;72;Directed
59;7;Directed
59;53;Directed
59;54;Directed
59;55;Directed
59;56;Directed
59;44;Directed
59;57;Directed
59;58;Directed
59;12;Directed
59;14;Directed
59;16;Directed
59;83;Directed
59;17;Directed
59;18;Directed
59;60;Directed
59;61;Directed
59;62;Directed
59;20;Directed
59;40;Directed
59;63;Directed
59;64;Directed
59;21;Directed
59;66;Directed
59;67;Directed
59;23;Directed
59;81;Directed
59;26;Directed
59;41;Directed
59;28;Directed
59;68;Directed
59;69;Directed
94;34;Directed
94;56;Directed
94;43;Directed
94;91;Directed
94;12;Directed
94;74;Directed
94;18;Directed
94;19;Directed
94;20;Directed
94;80;Directed
94;68;Directed
14;0;Directed
14;2;Directed
14;35;Directed
14;13;Directed
14;35;Directed
14;16;Directed
15;0;Directed
15;42;Directed
15;32;Directed
15;38;Directed
15;3;Directed
15;4;Directed
15;6;Directed
15;39;Directed
15;72;Directed
15;7;Directed
15;9;Directed
15;53;Directed
15;34;Directed
15;10;Directed
15;56;Directed
15;73;Directed
15;11;Directed
15;44;Directed
15;14;Directed
15;32;Directed
15;38;Directed
15;3;Directed
15;10;Directed
15;73;Directed
15;11;Directed
15;14;Directed
15;74;Directed
15;16;Directed
15;17;Directed
15;18;Directed
15;45;Directed
15;19;Directed
15;62;Directed
15;20;Directed
15;40;Directed
15;63;Directed
15;21;Directed
15;66;Directed
15;67;Directed
15;23;Directed
15;24;Directed
15;81;Directed
15;26;Directed
15;41;Directed
